,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7
167,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
168,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
169,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
170,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0,-297.0
171,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
172,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
173,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
174,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0
175,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0
176,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0
177,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0,-245.0
178,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
179,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
180,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
181,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0,-272.0
182,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
183,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
184,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
185,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
186,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
187,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
188,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0,-263.0
189,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
